name,price,type,efficiency,wattage,modular,color,brand,slug
Flower Leadex Titanium,849.99,ATX,titanium,2800,Full,Black,Super,super-flower-leadex-titanium-2800-titanium
SuperNOVA 850 GT,129.98,ATX,gold,850,Full,Black,EVGA,evga-supernova-850-gt-850-gold
HX1200i (2025),344.99,ATX,platinum,1200,Full,Black,Corsair,corsair-hx1200i-2025-1200-platinum
Master MWE Gold 850 V3,107.5,ATX,gold,850,Full,Black,Cooler,cooler-master-mwe-gold-850-v3-850-gold
TUF Gaming 750G,126.49,ATX,gold,750,Full,Black,Asus,asus-tuf-gaming-750g-750-gold
500 W1,72.0,ATX,plus,500,Non-modular,,EVGA,evga-500-w1-500-plus
MEG Ai-T PCIE5,687.99,ATX,titanium,1600,Full,Black / Gold,MSI,msi-meg-ai-t-pcie5-1600-titanium
1000 GQ,128.94,ATX,gold,1000,Semi,,EVGA,evga-1000-gq-1000-gold
Smart BM3,79.98,ATX,bronze,750,Semi,Black,Thermaltake,thermaltake-smart-bm3-750-bronze
CENTURY II,129.9,ATX,gold,1200,Full,Black,Montech,montech-century-ii-1200-gold
Toughpower GF A3 Snow,169.99,ATX,gold,1050,Full,White,Thermaltake,thermaltake-toughpower-gf-a3-snow-1050-gold
RM1200e,199.99,ATX,gold,1200,Full,Black,Corsair,corsair-rm1200e-1200-gold
quiet! Straight Power 12,226.21,ATX,platinum,1200,Full,Black,be,be-quiet-straight-power-12-1200-platinum
RM750x (2018),183.88,ATX,gold,750,Full,Black,Corsair,corsair-rm750x-2018-750-gold
Premier,54.99,ATX,gold,650,Semi,Black,Apevia,apevia-premier-650-gold
RM1000x SHIFT,199.99,ATX,gold,1000,Full,White,Corsair,corsair-rm1000x-shift-1000-gold
PRIME TX-1600 Noctua Edition,654.0,ATX,titanium,1600,Full,Brown / Black,SeaSonic,seasonic-prime-tx-1600-noctua-edition-1600-titanium
Prime AP-750G,119.99,ATX,gold,750,Full,White / Black,Asus,asus-prime-ap-750g-750-gold
RM850x SHIFT,179.99,ATX,gold,850,Full,Black,Corsair,corsair-rm850x-shift-850-gold
quiet! Pure Power 12 M,169.9,ATX,gold,1200,Full,Black,be,be-quiet-pure-power-12-m-1200-gold
Toughpower GF1 (2024),99.99,ATX,gold,750,Full,Black,Thermaltake,thermaltake-toughpower-gf1-2024-750-gold
RM1000x,248.97,ATX,gold,1000,Full,,Corsair,corsair-rm1000x-1000-gold
Steel Legend SL-750G,89.99,ATX,gold,750,Full,Black,ASRock,asrock-steel-legend-sl-750g-750-gold
RM850x SHIFT,169.99,ATX,gold,850,Full,White,Corsair,corsair-rm850x-shift-850-gold
Master V SFX Platinum,207.49,SFX,platinum,1100,Full,Black,Cooler,cooler-master-v-sfx-platinum-1100-platinum
GM,94.99,ATX,gold,850,Full,Black,Segotep,segotep-gm-850-gold
SFX,127.25,SFX,gold,500,Full,Black,Silverstone,silverstone-sfx-500-gold
V-400,24.99,ATX,,400,Non-modular,,CoolMax,coolmax-v-400-400-nan
AORUS ELITE P850,164.99,ATX,platinum,850,Full,Black,Gigabyte,gigabyte-aorus-elite-p850-850-platinum
Prime AP-850G,139.99,ATX,gold,850,Full,White / Black,Asus,asus-prime-ap-850g-850-gold
Li SP850,144.99,SFX,gold,850,Full,White,Lian,lian-li-sp850-850-gold
MPG A1000GS PCIE5,149.99,ATX,gold,1000,Full,Black,MSI,msi-mpg-a1000gs-pcie5-1000-gold
SuperNOVA 750 GT,115.98,ATX,gold,750,Full,Black,EVGA,evga-supernova-750-gt-750-gold
MAG A1250GL PCIE5,209.99,ATX,gold,1250,Full,Black,MSI,msi-mag-a1250gl-pcie5-1250-gold
quiet! Dark Power Pro 13,399.9,ATX,titanium,1300,Full,Black,be,be-quiet-dark-power-pro-13-1300-titanium
UD-GM PG5,146.72,ATX,gold,750,Full,Black,Gigabyte,gigabyte-ud-gm-pg5-750-gold
VERTEX GX-1000,199.99,ATX,gold,1000,Full,Black / Silver,SeaSonic,seasonic-vertex-gx-1000-1000-gold
RM650 (2019),229.99,ATX,gold,650,Full,Black,Corsair,corsair-rm650-2019-650-gold
I-500,26.14,ATX,,500,Non-modular,,CoolMax,coolmax-i-500-500-nan
APX,54.9,ATX,plus,750,Non-modular,Black,Montech,montech-apx-750-plus
CORE GX ATX 3 (2024),99.98,ATX,gold,650,Full,Black,SeaSonic,seasonic-core-gx-atx-3-2024-650-gold
VERTEX PX-1200,319.99,ATX,platinum,1200,Full,Black / Silver,SeaSonic,seasonic-vertex-px-1200-1200-platinum
Toughpower GF A3 - TT Premium Edition,136.72,ATX,gold,1050,Full,Black,Thermaltake,thermaltake-toughpower-gf-a3-tt-premium-edition-1050-gold
ROG LOKI,239.99,SFX,platinum,850,Full,White / Silver,Asus,asus-rog-loki-850-platinum
Li EDGE GOLD,475.18,ATX,gold,1000,Full,White,Lian,lian-li-edge-gold-1000-gold
700 BR,94.46,ATX,bronze,700,Non-modular,,EVGA,evga-700-br-700-bronze
RM1000x SHIFT,214.99,ATX,gold,1000,Full,Black,Corsair,corsair-rm1000x-shift-1000-gold
Galaxy,79.98,ATX,gold,1000,Semi,Black,Apevia,apevia-galaxy-1000-gold
quiet! SFX L Power,142.05,SFX,gold,500,Full,Black,be,be-quiet-sfx-l-power-500-gold
quiet! Pure Power 13 M,134.9,ATX,gold,850,Full,Black,be,be-quiet-pure-power-13-m-850-gold
CMG850,79.99,ATX,gold,850,Full,Black,Rosewill,rosewill-cmg850-850-gold
750 GQ,123.03,ATX,gold,750,Semi,,EVGA,evga-750-gq-750-gold
MPG A850GS PCIE5,129.99,ATX,gold,850,Full,Black,MSI,msi-mpg-a850gs-pcie5-850-gold
quiet! Power Zone 2,194.99,ATX,platinum,1000,Full,Black,be,be-quiet-power-zone-2-1000-platinum
quiet! Power Zone 2,129.9,ATX,platinum,750,Full,Black,be,be-quiet-power-zone-2-750-platinum
quiet! Dark Power 13,239.9,ATX,titanium,850,Full,Black,be,be-quiet-dark-power-13-850-titanium
Taichi TC-1650T,518.99,ATX,titanium,1650,Full,Black / Silver,ASRock,asrock-taichi-tc-1650t-1650-titanium
quiet! Straight Power 12,237.56,ATX,platinum,1500,Full,Black,be,be-quiet-straight-power-12-1500-platinum
FOCUS GX,175.26,ATX,gold,750,Full,Black,SeaSonic,seasonic-focus-gx-750-gold
XPG CYBERCORE,129.99,ATX,platinum,1000,Full,Black / Silver,ADATA,adata-xpg-cybercore-1000-platinum
Steel Legend SL-850G,99.99,ATX,gold,850,Full,Black,ASRock,asrock-steel-legend-sl-850g-850-gold
ATX-ES700-RGB,48.99,ATX,,700,Semi,Black,Apevia,apevia-atx-es700-rgb-700-nan
XPG PYLON,81.93,ATX,bronze,650,Non-modular,Black,ADATA,adata-xpg-pylon-650-bronze
quiet! SFX Power 3 450,124.41,SFX,bronze,450,Non-modular,Black,be,be-quiet-sfx-power-3-450-450-bronze
RM850,115.98,ATX,gold,850,Full,Black,Corsair,corsair-rm850-850-gold
RM1200x SHIFT,269.99,ATX,gold,1200,Full,White,Corsair,corsair-rm1200x-shift-1200-gold
quiet! Pure Power 12,139.9,ATX,gold,1000,Non-modular,Black,be,be-quiet-pure-power-12-1000-gold
RM850x (2018),209.5,ATX,gold,850,Full,Black,Corsair,corsair-rm850x-2018-850-gold
VERTEX GX-1200,247.99,ATX,gold,1200,Full,Black / Silver,SeaSonic,seasonic-vertex-gx-1200-1200-gold
ROG LOKI,264.99,SFX,platinum,1000,Full,Silver / Black,Asus,asus-rog-loki-1000-platinum
MAG A750BE,79.98,ATX,bronze,750,Semi,Black,MSI,msi-mag-a750be-750-bronze
MAG A750GL PCIE5 II,115.0,ATX,gold,750,Full,Black,MSI,msi-mag-a750gl-pcie5-ii-750-gold
