name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
Corsair Vengeance RGB Pro SL 32 GB,109.99,"2,16",3.437,White / Black,10.0,18.0,DDR4,3600,corsair-vengeance-rgb-pro-sl-32-gb-ddr4-3600
Corsair Dominator Titanium 96 GB,424.99,"2,48",4.427,Black,9.697,32.0,DDR5,6600,corsair-dominator-titanium-96-gb-ddr5-6600
Corsair Vengeance 64 GB,229.99,"2,32",3.594,Black / Gray,10.0,32.0,DDR5,6400,corsair-vengeance-64-gb-ddr5-6400
Kingston FURY Beast 16 GB,67.98,"2,8",4.249,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-16-gb-ddr5-6000
TEAMGROUP T-Create Classic 32 GB,74.99,"2,16",2.343,Black,16.429,46.0,DDR5,5600,teamgroup-t-create-classic-32-gb-ddr5-5600
Corsair Vengeance 32 GB,86.99,"2,16",2.718,Black,12.0,36.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
Patriot Viper Elite 5 RGB 32 GB,102.99,"2,16",3.218,White,10.0,30.0,DDR5,6000,patriot-viper-elite-5-rgb-32-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"2,32",2.89,White,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-64-gb-ddr5-6000
Corsair Vengeance RGB 64 GB,259.99,"2,32",4.062,White / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-64-gb-ddr5-6000
G.Skill Trident Z5 Royal 32 GB,154.99,"2,16",4.843,White,9.375,30.0,DDR5,6400,g-skill-trident-z5-royal-32-gb-ddr5-6400
Kingston FURY Beast 32 GB,106.63,"2,16",3.332,Black,12.857,36.0,DDR5,5600,kingston-fury-beast-32-gb-ddr5-5600
Corsair Vengeance RGB 32 GB,96.99,"2,16",3.031,White,15.385,40.0,DDR5,5200,corsair-vengeance-rgb-32-gb-ddr5-5200
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"2,16",2.063,Gray,10.0,16.0,DDR4,3200,teamgroup-t-force-vulcan-z-32-gb-ddr4-3200
G.Skill Ripjaws V 32 GB,89.99,"2,16",2.812,Black,8.889,16.0,DDR4,3600,g-skill-ripjaws-v-32-gb-ddr4-3600
Lexar THOR 16 GB,,"2,8",,Black,10.0,16.0,DDR4,3200,lexar-thor-16-gb-ddr4-3200
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"2,8",3.187,Black,10.0,18.0,DDR4,3600,teamgroup-t-force-delta-rgb-16-gb-ddr4-3600
G.Skill Trident Z RGB 16 GB,54.99,"2,8",3.437,Black,10.0,18.0,DDR4,3600,g-skill-trident-z-rgb-16-gb-ddr4-3600
Kingston FURY Beast RGB 32 GB,141.19,"2,16",4.412,White,10.0,30.0,DDR5,6000,kingston-fury-beast-rgb-32-gb-ddr5-6000
Corsair Vengeance 128 GB,372.99,"2,64",2.914,Black,13.125,42.0,DDR5,6400,corsair-vengeance-128-gb-ddr5-6400
Corsair Vengeance RGB 16 GB,67.98,"2,8",4.249,Black / Gray,15.385,40.0,DDR5,5200,corsair-vengeance-rgb-16-gb-ddr5-5200
Crucial CT2K8G48C40U5 16 GB,41.99,"2,8",2.624,Black,16.667,40.0,DDR5,4800,crucial-ct2k8g48c40u5-16-gb-ddr5-4800
G.Skill Trident Z5 Neo 64 GB,204.99,"2,32",3.203,Black / Silver,10.0,30.0,DDR5,6000,g-skill-trident-z5-neo-64-gb-ddr5-6000
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"2,16",2.499,Black,12.0,36.0,DDR5,6000,silicon-power-xpower-pulse-gaming-32-gb-ddr5-6000
Corsair Vengeance RGB 32 GB,147.99,"2,16",4.625,Black,9.333,28.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
Silicon Power SP016GLLTU160N22 16 GB,16.95,"2,8",1.059,Green,13.75,11.0,DDR3,1600,silicon-power-sp016glltu160n22-16-gb-ddr3-1600
PNY XLR8 Gaming RGB 32 GB,94.99,"2,16",2.968,Black,12.0,36.0,DDR5,6000,pny-xlr8-gaming-rgb-32-gb-ddr5-6000
G.Skill Trident Z5 RGB 32 GB,139.99,"2,16",4.375,Black,9.444,34.0,DDR5,7200,g-skill-trident-z5-rgb-32-gb-ddr5-7200
Kingston FURY Beast 8 GB,29.89,"1,8",3.736,Black,10.0,16.0,DDR4,3200,kingston-fury-beast-8-gb-ddr4-3200
G.Skill Trident Z5 Neo RGB 64 GB,,"2,32",,Black,8.667,26.0,DDR5,6000,g-skill-trident-z5-neo-rgb-64-gb-ddr5-6000
Corsair Vengeance 32 GB,96.99,"2,16",3.031,Black,15.385,40.0,DDR5,5200,corsair-vengeance-32-gb-ddr5-5200
TEAMGROUP T-Create Expert 32 GB,62.99,"2,16",1.968,Gray,10.0,16.0,DDR4,3200,teamgroup-t-create-expert-32-gb-ddr4-3200
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"2,16",2.656,Black,10.0,32.0,DDR5,6400,silicon-power-xpower-pulse-gaming-32-gb-ddr5-6400
Corsair Dominator Titanium 96 GB,427.99,"2,48",4.458,Black,11.429,40.0,DDR5,7000,corsair-dominator-titanium-96-gb-ddr5-7000
Corsair Vengeance LPX 16 GB,91.99,"2,8",5.749,Black,10.0,18.0,DDR4,3600,corsair-vengeance-lpx-16-gb-ddr4-3600
Lexar THOR 32 GB,,"2,16",,Black,10.0,16.0,DDR4,3200,lexar-thor-32-gb-ddr4-3200
Corsair Vengeance RGB Pro 16 GB,97.91,"2,8",6.119,White,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-16-gb-ddr4-3200
Patriot Viper Venom 16 GB,52.99,"2,8",3.312,Black / White,13.846,36.0,DDR5,5200,patriot-viper-venom-16-gb-ddr5-5200
G.Skill Trident Z5 Royal 64 GB,259.99,"2,32",4.062,Silver,10.0,32.0,DDR5,6400,g-skill-trident-z5-royal-64-gb-ddr5-6400
Crucial Pro 64 GB,125.99,"2,32",1.969,Black / Green,13.75,22.0,DDR4,3200,crucial-pro-64-gb-ddr4-3200
Corsair Dominator Titanium 96 GB,419.99,"2,48",4.375,White,9.697,32.0,DDR5,6600,corsair-dominator-titanium-96-gb-ddr5-6600
ADATA XPG Lancer Blade RGB 32 GB,134.99,"2,16",4.218,Black,10.0,30.0,DDR5,6000,adata-xpg-lancer-blade-rgb-32-gb-ddr5-6000
Corsair Vengeance RGB 128 GB,389.99,"2,64",,Black,13.125,42.0,DDR5,6400,corsair-vengeance-rgb-128-gb-ddr5-6400
Corsair Vengeance RGB 32 GB,144.99,"2,16",4.531,White / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
Patriot Signature Line 32 GB,71.98,"2,16",2.249,Black,16.667,40.0,DDR5,4800,patriot-signature-line-32-gb-ddr5-4800
Crucial CT2K16G48C40U5 32 GB,73.98,"2,16",2.312,Black,16.667,40.0,DDR5,4800,crucial-ct2k16g48c40u5-32-gb-ddr5-4800
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"2,48",4.323,Black,9.333,28.0,DDR5,6000,g-skill-trident-z5-neo-rgb-96-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"2,16",2.812,White,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-32-gb-ddr5-6000
Crucial Pro Overclocking 64 GB,199.99,"2,32",3.125,Black,12.5,40.0,DDR5,6400,crucial-pro-overclocking-64-gb-ddr5-6400
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"2,32",3.984,Black,9.333,28.0,DDR5,6000,g-skill-trident-z5-neo-rgb-64-gb-ddr5-6000
Corsair Vengeance RGB Pro 32 GB,82.99,"2,16",2.593,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-32-gb-ddr4-3200
G.Skill Flare X5 16 GB,,"1,16",,Black,12.0,36.0,DDR5,6000,g-skill-flare-x5-16-gb-ddr5-6000
Corsair Vengeance 96 GB,324.99,"2,48",3.385,Black / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-96-gb-ddr5-6000
Corsair Vengeance LPX 8 GB,36.99,"1,8",4.624,Black / Yellow,13.333,16.0,DDR4,2400,corsair-vengeance-lpx-8-gb-ddr4-2400
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"2,32",2.578,Black,10.0,30.0,DDR5,6000,silicon-power-xpower-zenith-gaming-64-gb-ddr5-6000
Lexar Ares RGB 32 GB,114.99,"2,16",3.593,Black,10.0,30.0,DDR5,6000,lexar-ares-rgb-32-gb-ddr5-6000
Crucial CT2K8G4DFRA32A 16 GB,56.54,"2,8",3.534,Green,13.75,22.0,DDR4,3200,crucial-ct2k8g4dfra32a-16-gb-ddr4-3200
Corsair Dominator Titanium 32 GB,179.99,"2,16",5.625,Black,10.0,30.0,DDR5,6000,corsair-dominator-titanium-32-gb-ddr5-6000
Crucial CT8G4DFS824A 8 GB,19.98,"1,8",2.498,Green,14.167,17.0,DDR4,2400,crucial-ct8g4dfs824a-8-gb-ddr4-2400
Kingston HyperX Fury 16 GB,,"2,8",,Black / Silver,10.0,16.0,DDR4,3200,kingston-hyperx-fury-16-gb-ddr4-3200
Timetec PINNACLE Konduit 32 GB,59.99,"2,16",1.875,White,10.0,16.0,DDR4,3200,timetec-pinnacle-konduit-32-gb-ddr4-3200
