name,price,socket,form_factor,max_memory,memory_slots,color,slug
MSI MPG B650I EDGE WIFI,289.99,AM5,Mini ITX,128,2,Black / Silver,mpg-b650i-edge-wifi
MSI MAG Z790 TOMAHAWK WIFI,189.99,LGA1700,ATX,192,4,Black,mag-z790-tomahawk-wifi
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver,b550i-aorus-pro-ax
Asus ROG STRIX B860-I GAMING WIFI,219.99,LGA1851,Mini ITX,128,2,Black / Silver,rog-strix-b860-i-gaming-wifi
Asus ROG STRIX B550-A GAMING,241.13,AM4,ATX,128,4,Black / White,rog-strix-b550-a-gaming
NZXT N7 B650E,260.88,AM5,ATX,128,4,White,nzxt-n7-b650e
Gigabyte X870E AORUS PRO,349.99,AM5,ATX,256,4,Black,x870e-aorus-pro
MSI Z790 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black,z790-gaming-plus-wifi
MSI MPG B850I EDGE TI WIFI,249.99,AM5,Mini ITX,128,2,Silver,mpg-b850i-edge-ti-wifi
ASRock B650 PRO RS,147.02,AM5,ATX,256,4,Black / Silver,b650-pro-rs
Gigabyte B650E AORUS ELITE X AX ICE,209.0,AM5,ATX,192,4,Silver / White,b650e-aorus-elite-x-ax-ice
MSI PRO B840-P WIFI,159.99,AM5,ATX,256,4,Silver,pro-b840-p-wifi
ASRock B550M-ITX/ac,99.99,AM4,Mini ITX,64,2,Silver / Black,b550m-itx-ac
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black,x870e-aorus-master
ASRock B850 Pro-A,139.99,AM5,ATX,256,4,Black / Silver,b850-pro-a
ASRock B760M-H2/M.2,153.88,LGA1700,Micro ATX,96,2,Black / Silver,b760m-h2-m-2
Asus ROG STRIX B850-E GAMING WIFI,339.0,AM5,ATX,256,4,Black,rog-strix-b850-e-gaming-wifi
MSI MAG B650M MORTAR WIFI,198.99,AM5,Micro ATX,192,4,Black,mag-b650m-mortar-wifi
ASRock B650M Pro X3D WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,b650m-pro-x3d-wifi
MSI PRO X870-P WIFI,273.0,AM5,ATX,256,4,Black / Silver,pro-x870-p-wifi
Asus PRIME B550-PLUS AC-HES,129.99,AM4,ATX,128,4,Silver / Black,prime-b550-plus-ac-hes
Asus PRIME X870-P WIFI,219.99,AM5,ATX,192,4,Black / Silver,prime-x870-p-wifi
Gigabyte B650M AORUS ELITE AX,199.99,AM5,Micro ATX,192,4,Black,b650m-aorus-elite-ax
